structure,spg_symbol_framework,spg_number_framework,lattice_type_framework,crystal_system_framework,spg_symbol_structure,spg_number_structure,lattice_type_structure,crystal_system_structure
il0004093255_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014775214_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015872129_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012680198_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012973257_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012242475_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013292070_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015248375_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0001877993_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008528614_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014904098_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008070504_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015450048_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015877280_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014201143_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014319708_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0006210627_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015104306_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0010542588_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004270284_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015830591_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014813016_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015765425_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014808708_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012606095_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013143537_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015262925_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0010669480_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012613552_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015894284_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014369329_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015452466_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015300046_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004218407_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015149983_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011279950_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012428367_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011891415_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014813023_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015829148_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009087218_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004180601_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015450529_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015250565_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008111808_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014892646_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015209618_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014929582_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012725920_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014466857_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011317151_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013195954_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004219341_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015091202_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013232860_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008113807_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014775221_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011168635_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013896764_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012973287_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012977089_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0010547119_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012977446_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012929997_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015850353_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014468839_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013386054_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011275248_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013282668_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015828770_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011279798_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015568874_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014862574_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011168642_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011218439_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004148475_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0007519767_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009686790_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015884308_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015885768_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013121810_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012661820_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004244834_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014472463_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013309629_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0006899323_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0007440937_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011240638_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014796555_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004147980_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015172411_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013269549_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014996472_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012960091_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014233540_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015288168_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014264116_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011893153_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012662879_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014654544_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014362270_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012583880_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014931958_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014916483_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014916482_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0007523929_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004091727_w192,P1,1,triclinic,triclinic,P1,1,triclinic,triclinic
il0012118606_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009807008_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014896008_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012890268_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009745440_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008114184_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012640703_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009684991_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
