il0004187328_w192,5,|-399.38
|
il0004252848_w192,5,|-399.38
|
il0015664970_w192,5,|-399.017
|
il0015850475_w192,5,|-399.01
|
il0012662834_w192,5,|-398.999
|
il0012929327_w192,5,|-398.999
|
il0014776704_w192,5,|-398.992
|
il0012606050_w192,5,|-398.856
|
il0013307319_w192,12,|-398.757
|
il0015104304_w192,5,|-398.633
|
il0012605940_w192,5,|-398.569
|
il0014467908_w192,12,|-398.552
|
il0012920811_w192,12,|-398.533
|
il0013012319_w192,5,|-398.53
|
il0015288167_w192,5,|-398.514
|
il0014813005_w192,12,|-398.483
|
il0014751862_w192,5,|-398.412
|
il0012645355_w192,5,|-398.412
|
il0015113762_w192,5,|-398.306
|
il0013012512_w192,5,|-398.243
|
il0011249038_w192,5,|-398.237
|
il0015590714_w192,5,|-398.221
|
il0008061915_w192,12,|-398.215
|
il0015148706_w192,5,|-398.178
|
il0015147984_w192,5,|-398.178
|
il0015589845_w192,12,|-398.177
|
il0015866953_w192,12,|-398.174
|
il0014926573_w192,12,|-398.156
|
il0013235307_w192,12,|-398.152
|
il0013274577_w192,12,|-398.125
|
il0008136244_w192,5,|-398.122
|
il0011782215_w192,12,|-398.105
|
il0013243356_w192,12,|-398.099
|
il0012920770_w192,5,|-398.071
|
il0014903351_w192,12,|-398.044
|
il0014466857_w192,5,|-398.028
|
il0014882914_w192,5,|-398.027
|
il0014931958_w192,5,|-398.027
|
il0015691136_w192,12,|-398.019
|
il0014930950_w192,5,|-398.011
|
il0011279950_w192,12,|-398.01
|
il0013274683_w192,5,|-398.003
|
il0015105741_w192,12,|-397.992
|
il0008113183_w192,5,|-397.983
|
il0014459182_w192,5,|-397.977
|
il0014882907_w192,5,|-397.96
|
il0012645252_w192,5,|-397.952
|
il0012920784_w192,5,|-397.952
|
il0011297086_w192,5,|-397.946
|
il0015877271_w192,12,|-397.941
|
il0012605979_w192,12,|-397.94
|
il0015288165_w192,5,|-397.939
|
il0011282203_w192,5,|-397.939
|
il0012920134_w192,5,|-397.906
|
il0013322738_w192,5,|-397.896
|
il0013309629_w192,5,|-397.895
|
il0015288454_w192,5,|-397.889
|
il0004126140_w192,5,|-397.871
|
il0015300046_w192,5,|-397.868
|
il0014881539_w192,12,|-397.845
|
il0014929582_w192,5,|-397.845
|
il0015316629_w192,5,|-397.831
|
il0015878934_w192,12,|-397.819
|
il0013269564_w192,12,|-397.801
|
il0008069503_w192,5,|-397.791
|
il0011297429_w192,5,|-397.788
|
il0015113015_w192,12,|-397.787
|
il0008135023_w192,5,|-397.784
|
il0012645335_w192,5,|-397.784
|
il0014796527_w192,5,|-397.78
|
il0011242898_w192,5,|-397.77
|
il0011315215_w192,5,|-397.76
|
il0011943831_w192,12,|-397.76
|
il0004200435_w192,12,|-397.754
|
il0004248478_w192,5,|-397.754
|
il0015135602_w192,5,|-397.741
|
