# "Timestep" "MSD"
50000 0.0 
51000 1.0053303419336148 
52000 1.2821334209994701 
53000 1.535858605253138 
54000 1.7343707622575677 
55000 1.9770844566001904 
56000 2.20344383891652 
57000 2.3807701139225093 
58000 2.5688847631339042 
59000 2.7178886607733523 
60000 2.9574290731719106 
61000 3.175284243434735 
62000 3.340073948756828 
63000 3.4952481464546747 
64000 3.7060288445110743 
65000 3.8958071706422204 
66000 4.144640058506902 
67000 4.270347553101495 
68000 4.453687561172501 
69000 4.626713507283064 
70000 4.77237529219048 
71000 4.875597037521953 
72000 5.016927295555355 
73000 5.205343772592325 
74000 5.392774789746972 
75000 5.560132340044596 
76000 5.79399461684432 
77000 5.956072774130826 
78000 6.134861328027218 
79000 6.32478400778149 
80000 6.55555093272816 
81000 6.771673535977462 
82000 6.993727391124821 
83000 7.220019838778777 
84000 7.4048279584098555 
85000 7.551631162757681 
86000 7.7493039747568355 
87000 7.897414166666071 
88000 8.06316880039188 
89000 8.29455953929293 
90000 8.370738997887491 
91000 8.571224412995761 
92000 8.785130311173763 
93000 8.95052472492365 
94000 9.025324828463933 
95000 9.24910444684939 
96000 9.430836931976364 
97000 9.59153159567979 
98000 9.70696283215473 
99000 9.906902320273119 
100000 10.064189739355825 
101000 10.216680110998393 
102000 10.386482238264076 
103000 10.50277259385652 
104000 10.666260519633047 
105000 10.815129801727956 
106000 11.062294904029264 
107000 11.318354903537815 
108000 11.363932102655292 
109000 11.57849279652997 
110000 11.740821854272088 
111000 11.98145644689755 
112000 12.15546965445217 
113000 12.257807063363579 
114000 12.361217746515168 
115000 12.531791819080242 
116000 12.751994130723258 
117000 12.942759985674998 
118000 13.007965170624118 
119000 13.13514577724377 
120000 13.337764425734829 
121000 13.517812236479584 
122000 13.656045016588356 
123000 13.828687523296127 
124000 14.009460219017708 
125000 14.18092172272234 
126000 14.314948008143078 
127000 14.498601100342919 
128000 14.643709083741902 
129000 14.769811145953549 
130000 14.878606963118894 
131000 15.122129890956257 
132000 15.228544190320346 
133000 15.462324744647674 
134000 15.599947399522861 
135000 15.697350333935885 
136000 15.922137135638806 
137000 16.134023602972952 
138000 16.236711356269677 
139000 16.376588383915376 
140000 16.608496047555263 
141000 16.70014227722932 
142000 16.839127920887883 
143000 17.08600459316993 
144000 17.20022146622735 
145000 17.42169605441018 
146000 17.483292398015713 
147000 17.59362304901749 
148000 17.804817564564555 
149000 18.005821621309245 
150000 18.12948444736311 
151000 18.275291025301478 
152000 18.494411473213702 
153000 18.6383602840479 
154000 18.831725089069934 
155000 19.021458497864636 
156000 19.14383590690349 
157000 19.229198665727285 
158000 19.43367272330918 
159000 19.576658576778872 
160000 19.705216128462848 
161000 19.849807143143117 
162000 19.818332426787382 
163000 19.981654640499553 
164000 20.235129051501318 
165000 20.36428968231951 
166000 20.385442632559027 
167000 20.693549960387895 
168000 20.793579081515354 
169000 20.951950071749376 
170000 21.0532386192844 
171000 21.15876363077882 
172000 21.409570482347608 
173000 21.516099519905232 
174000 21.495691807951808 
175000 21.732777052388183 
176000 21.879784208758004 
177000 22.05653437083543 
178000 22.21029247402455 
179000 22.357252043129947 
180000 22.551752567562332 
181000 22.85094015062164 
182000 22.960978798051137 
183000 22.887383124523613 
184000 23.09907416441126 
185000 23.176564100688537 
186000 23.333655662675934 
187000 23.494747521515354 
188000 23.641191174391018 
189000 23.780807329904217 
190000 23.90501993714486 
191000 24.054253654836334 
192000 24.156283133215226 
193000 24.359325740660857 
194000 24.506262619359795 
195000 24.643997604445776 
196000 24.721572332086765 
197000 24.949895986529043 
198000 25.04630465361679 
199000 25.157801093631498 
200000 25.421707534901792 
201000 25.60164336739689 
202000 25.78441920019285 
203000 25.86094429204243 
204000 26.051068169502525 
205000 26.127425997823348 
206000 26.278416567934407 
207000 26.470551077264265 
208000 26.586148932157077 
209000 26.724651446762405 
210000 26.89333148427045 
211000 27.076133849574774 
212000 27.10567514056086 
213000 27.343568706956447 
214000 27.46481926050962 
215000 27.592508510230946 
216000 27.677196432085374 
217000 27.853936429305076 
218000 27.966421724657383 
219000 28.210440256907923 
220000 28.34464173697045 
221000 28.482844369259734 
222000 28.595953852782756 
223000 28.747120905721225 
224000 28.999786641315968 
225000 29.105813785829092 
226000 29.23092067605429 
227000 29.480288471032594 
228000 29.593868087146447 
229000 29.771584647383463 
230000 29.854130793733404 
231000 29.961813278848993 
232000 30.15695092184182 
233000 30.306453679967998 
234000 30.42716245172882 
235000 30.47728271091552 
236000 30.62977557925104 
237000 30.75888770684935 
238000 30.862467516321907 
239000 31.09116244319889 
240000 31.20194812877913 
241000 31.389050445934927 
242000 31.538011418788148 
243000 31.57204782169305 
244000 31.726385437258955 
245000 31.912724288906695 
246000 32.06872334266476 
247000 32.14795720126475 
248000 32.224413668322484 
249000 32.34242493579547 
250000 32.39642019097184 
251000 32.561718346841744 
252000 32.69695791658713 
253000 32.79863836305404 
254000 32.98583038377454 
255000 33.14094010888647 
256000 33.32004124743251 
257000 33.505535629585225 
258000 33.614621578962605 
259000 33.75721955505366 
260000 33.90839104066312 
261000 34.0539210018956 
262000 34.23337271058783 
263000 34.37668496752954 
264000 34.418040829336014 
265000 34.48159848491385 
266000 34.67081867464875 
267000 34.78680544062449 
268000 34.93614597954295 
269000 35.0780016031868 
270000 35.06911187054651 
271000 35.19739304692582 
272000 35.328709785614514 
273000 35.559523357485666 
274000 35.75497510499907 
275000 35.775499342499316 
276000 35.961340312934105 
277000 36.077128862503514 
278000 36.1869478574837 
279000 36.31429073538836 
280000 36.60577788097174 
