# "Timestep" "MSD"
50000 0.0 
51000 1.581256845070365 
52000 2.2512606539630995 
53000 2.9022993338152308 
54000 3.5170580123270425 
55000 4.108500031759052 
56000 4.650113441748626 
57000 5.270770829567188 
58000 5.9383831787941235 
59000 6.494428696300203 
60000 7.024759575277878 
61000 7.5959570570796355 
62000 8.24389726366335 
63000 8.759314822815295 
64000 9.282881893671735 
65000 9.874721456599838 
66000 10.459399444069819 
67000 11.052687054607652 
68000 11.681977445644822 
69000 12.433392964088325 
70000 12.911238402811954 
71000 13.506187306289224 
72000 13.95654922325056 
73000 14.617460442921713 
74000 15.219995803279069 
75000 15.865428912335556 
76000 16.392435987372004 
77000 16.867121043473848 
78000 17.30014884867104 
79000 17.756851021695297 
80000 18.294639774540073 
81000 18.942596077030444 
82000 19.39566360399561 
83000 19.767256125899827 
84000 20.28997071987708 
85000 20.776001265229294 
86000 21.179510529443725 
87000 21.636855981902514 
88000 22.03662506010272 
89000 22.639673846264042 
90000 23.175325867278172 
91000 23.68954679996315 
92000 24.16198195072282 
93000 24.528429713931644 
94000 25.11671267892599 
95000 25.622504715181364 
96000 26.202301920359176 
97000 26.70728331913326 
98000 27.38232249713651 
99000 27.937754330590472 
100000 28.525788326510302 
101000 29.004654045488078 
102000 29.62394467863014 
103000 30.163692451020644 
104000 30.7329270026922 
105000 31.169419519768017 
106000 31.734261918738277 
107000 32.32225186595611 
108000 33.11907482183016 
109000 33.53545471472705 
110000 34.08331217231593 
111000 34.41189649643039 
112000 35.01689491295422 
113000 35.43416385832088 
114000 36.25476361887308 
115000 36.730032295855615 
116000 37.36832185314003 
117000 37.7867342463006 
118000 38.550754042787496 
119000 38.94467362370081 
120000 39.67015677521647 
121000 40.06571240362393 
122000 40.66330274780009 
123000 41.12052576450583 
124000 41.545650136079466 
125000 42.068458044764576 
126000 42.72759968699898 
127000 43.205196455024 
128000 43.56540514527978 
129000 44.067693922332516 
130000 44.39094456077374 
131000 44.96229946122826 
132000 45.49543899927262 
133000 46.07866771374435 
134000 46.55889788802778 
135000 47.22810521837824 
136000 47.622146894645 
137000 48.28554350782528 
138000 48.77861478566854 
139000 49.39357345085245 
140000 49.88883327004319 
141000 50.22225380735302 
142000 50.91201772223484 
143000 51.39352160011885 
144000 51.70252623201912 
145000 52.276212727221605 
146000 52.78825221833865 
147000 53.283982029905225 
148000 53.73037349029133 
149000 54.42309915195754 
150000 54.918382678892634 
151000 55.397730362044015 
152000 55.99469534170619 
153000 56.54996977228947 
154000 57.05191041534213 
155000 57.321559470200945 
156000 57.81755238483943 
157000 58.819185547089546 
158000 59.33139477136127 
159000 59.652232788953114 
160000 60.17211930538249 
161000 60.68758188716914 
162000 61.130186297435515 
163000 61.71820899163211 
164000 62.25892574833255 
165000 62.637523423849345 
166000 63.23953373763054 
167000 63.79193237968086 
168000 64.29421868192894 
169000 64.69884076798712 
170000 65.34107878321682 
171000 66.1156505327209 
172000 66.67077203198319 
173000 67.1106174425439 
174000 67.26497562656745 
175000 67.63972597965294 
176000 68.20542637834548 
177000 68.85587302299618 
178000 69.32431618968126 
179000 69.89285922465788 
180000 70.61791418090928 
181000 70.85030931204184 
182000 71.08539477224089 
183000 71.76717388870324 
184000 72.11098124580911 
185000 72.54927300658451 
186000 73.39327817248058 
187000 73.7956565374543 
188000 74.13427803681928 
189000 74.51815620512201 
190000 74.93160910737112 
191000 75.52113072054466 
192000 76.32277656131052 
193000 76.87043629329536 
194000 77.39477982414482 
195000 77.663784276898 
196000 78.06779616781878 
197000 78.8082520674121 
198000 79.2893921881984 
199000 79.78065399607772 
200000 80.37267398973991 
201000 80.90998158164457 
202000 81.56841349609545 
203000 81.95907080381257 
204000 82.43700185325979 
205000 82.71534971212265 
206000 83.09880453607524 
207000 83.92675452322183 
208000 84.21602466973485 
209000 85.08439639529026 
210000 85.31293931897837 
211000 85.69144764268546 
212000 86.01104872037581 
213000 86.547428709826 
214000 86.80900374738192 
215000 87.214463314927 
216000 87.90027230555252 
217000 88.62479656590698 
218000 89.29270612957444 
219000 89.72518598166943 
220000 90.05960675228378 
221000 90.53133259438101 
222000 91.26109494188835 
223000 91.75929807665828 
224000 92.43811455666786 
225000 92.61612274298152 
226000 93.35210164880473 
227000 93.28439892881156 
228000 93.77710923026561 
229000 94.0893101945508 
230000 94.57278647518564 
231000 95.24427794242364 
232000 95.6999576304268 
233000 96.07888953612957 
234000 96.37849727007114 
235000 97.09024942333345 
236000 97.27927779651232 
237000 97.73553647796666 
238000 98.57197522781722 
239000 98.88698297297393 
240000 99.42301631848485 
241000 99.6360166243133 
242000 100.32350613918356 
243000 100.79453867548587 
244000 101.48032300052301 
245000 101.99805402464727 
246000 102.18879845717552 
247000 102.6777451146082 
248000 102.9435257085699 
249000 103.42625044288138 
250000 103.83005906704129 
251000 104.24465310644386 
252000 104.86866741821217 
253000 105.24810026289218 
254000 105.984440379435 
255000 106.48658738253103 
256000 107.063336803949 
257000 107.51953354532866 
258000 108.11679545651491 
259000 108.42939754142289 
260000 108.90204141817394 
261000 109.28865172335719 
262000 109.59536975038174 
263000 110.0747529155943 
264000 110.65363260546566 
265000 110.93991046675687 
266000 111.54804206076861 
267000 111.89644996989632 
268000 112.49561610144862 
269000 112.9548264750434 
270000 113.58752429794157 
271000 114.45123040398035 
272000 114.92738824966521 
273000 115.53397722057966 
274000 116.14079130453784 
275000 116.93553309383428 
276000 117.20590748245885 
277000 117.2731703114644 
278000 117.76451966737005 
279000 118.14762225124232 
280000 118.59619530262786 
281000 118.97603880786959 
